alpha,k,accuracy
6.0,11.0,0.8375357142857143
6.0,13.0,0.83875
6.0,15.0,0.8404642857142857
6.0,20.0,0.8403928571428572
6.0,25.0,0.84075
6.0,30.0,0.8398928571428571
6.0,40.0,0.8385714285714285
6.0,50.0,0.8373571428571429
6.0,100.0,0.8315
7.0,1.0,0.8383928571428572
7.0,3.0,0.8612142857142857
7.0,5.0,0.8702857142857143
7.0,7.0,0.8732857142857143
7.0,9.0,0.8749642857142857
7.0,11.0,0.8767857142857143
7.0,13.0,0.8773571428571428
7.0,15.0,0.8773928571428572
7.0,20.0,0.8774642857142857
7.0,25.0,0.8755357142857143
7.0,30.0,0.8748214285714285
7.0,40.0,0.87325
7.0,50.0,0.8718214285714285
7.0,100.0,0.8647142857142858
8.0,1.0,0.8759285714285714
8.0,3.0,0.8942142857142857
8.0,5.0,0.89975
8.0,7.0,0.9025714285714286
8.0,9.0,0.9036071428571428
8.0,11.0,0.9025714285714286
8.0,13.0,0.9028928571428572
8.0,15.0,0.9034285714285716
8.0,20.0,0.9032142857142856
8.0,25.0,0.9019285714285714
8.0,30.0,0.9006785714285714
8.0,40.0,0.8988928571428572
8.0,50.0,0.8973571428571429
8.0,100.0,0.8890357142857143
9.0,1.0,0.8937142857142857
9.0,3.0,0.9088928571428572
9.0,5.0,0.9133571428571428
9.0,7.0,0.91575
9.0,9.0,0.9151428571428571
9.0,11.0,0.9153214285714286
9.0,13.0,0.9149642857142856
9.0,15.0,0.9144642857142856
9.0,20.0,0.9132142857142858
9.0,25.0,0.9114642857142856
9.0,30.0,0.9107142857142856
9.0,40.0,0.9081428571428573
9.0,50.0,0.9059642857142856
9.0,100.0,0.8976428571428572
10.0,1.0,0.9136785714285716
10.0,3.0,0.9249285714285714
10.0,5.0,0.9285714285714286
10.0,7.0,0.9287142857142856
10.0,9.0,0.9278571428571428
10.0,11.0,0.9266071428571429
10.0,13.0,0.9266428571428572
10.0,15.0,0.9262857142857144
10.0,20.0,0.9245357142857142
10.0,25.0,0.9231071428571428
10.0,30.0,0.9221071428571428
10.0,40.0,0.9191071428571428
10.0,50.0,0.9173928571428572
10.0,100.0,0.9078571428571428
11.0,1.0,0.9245
11.0,3.0,0.93575
11.0,5.0,0.9377142857142856
11.0,7.0,0.9366428571428572
11.0,9.0,0.9354285714285714
11.0,11.0,0.9348571428571428
11.0,13.0,0.934
11.0,15.0,0.93325
11.0,20.0,0.9316071428571427
